OriTeamName,AdjTeamName
Villanova,Villanova
North Carolina,North Carolina
Virginia,Virginia
Kansas,Kansas
Michigan St,Michigan St
Kentucky,Kentucky
Louisville,Louisville
West Virginia,West Virginia
Purdue,Purdue
Oklahoma,Oklahoma
Indiana,Indiana
Oregon,Oregon
Wichita St,Wichita St
Xavier,Xavier
Miami FL,Miami FL
SMU,SMU
Duke,Duke
Texas A&M,Texas A&M
Arizona,Arizona
Iowa St,Iowa St
Gonzaga,Gonzaga
Iowa,Iowa
Maryland,Maryland
Baylor,Baylor
Vanderbilt,Vanderbilt
Connecticut,Connecticut
Syracuse,Syracuse
California,California
Seton Hall,Seton Hall
Butler,Butler
VCU,VA Commonwealth
Cincinnati,Cincinnati
Utah,Utah
Saint Mary's,St Mary's CA
Florida,Florida
Pittsburgh,Pittsburgh
Notre Dame,Notre Dame
Wisconsin,Wisconsin
Texas,Texas
Creighton,Creighton
Stephen F Austin,SF Austin
Valparaiso,Valparaiso
Saint Joseph's,St Joseph's PA
Providence,Providence
Clemson,Clemson
Yale,Yale
San Diego St,San Diego St
Florida St,Florida St
USC,USC
Michigan,Michigan
Georgia Tech,Georgia Tech
George Washington,G Washington
BYU,BYU
Texas Tech,Texas Tech
Kansas St,Kansas St
Arkansas Little Rock,Ark Little Rock
Colorado,Colorado
South Carolina,South Carolina
Dayton,Dayton
Hawaii,Hawaii
Houston,Houston
Georgetown,Georgetown
Virginia Tech,Virginia Tech
Oregon St,Oregon St
Tulsa,Tulsa
Washington,Washington
Northern Iowa,Northern Iowa
Northwestern,Northwestern
UCLA,UCLA
Princeton,Princeton
Georgia,Georgia
Evansville,Evansville
Arkansas,Arkansas
North Carolina St,NC State
Memphis,Memphis
Ohio St,Ohio St
Mississippi,Mississippi
Mississippi St,Mississippi St
Oakland,Oakland
South Dakota St,S Dakota St
LSU,LSU
Rhode Island,Rhode Island
UNC Wilmington,UNC Wilmington
UC Irvine,UC Irvine
Nebraska,Nebraska
Temple,Temple
William & Mary,William & Mary
St Bonaventure,St Bonaventure
Akron,Akron
Boise St,Boise St
James Madison,James Madison
Hofstra,Hofstra
Arizona St,Arizona St
Stony Brook,Stony Brook
Monmouth,Monmouth NJ
Alabama,Alabama
Marquette,Marquette
Oklahoma St,Oklahoma St
Richmond,Richmond
Old Dominion,Old Dominion
UT Arlington,UT Arlington
Stanford,Stanford
Tennessee,Tennessee
Iona,Iona
UC Santa Barbara,Santa Barbara
Davidson,Davidson
Long Beach St,Long Beach St
Fresno St,Fresno St
Chattanooga,Chattanooga
Cal St Bakersfield,CS Bakersfield
New Mexico St,New Mexico St
Louisiana Lafayette,ULL
Columbia,Columbia
Milwaukee,WI Milwaukee
New Mexico,New Mexico
UAB,UAB
UNLV,UNLV
Wake Forest,Wake Forest
Middle Tennessee,MTSU
Illinois St,Illinois St
Albany,Albany NY
College of Charleston,Col Charleston
Toledo,Toledo
Nevada,Nevada
Illinois,Illinois
Morehead St,Morehead St
Green Bay,WI Green Bay
Siena,Siena
Belmont,Belmont
Grand Canyon,Grand Canyon
UNC Asheville,UNC Asheville
Northeastern,Northeastern
Louisiana Monroe,ULM
Utah St,Utah St
IPFW,IPFW
TCU,TCU
Pepperdine,Pepperdine
Buffalo,Buffalo
Southern Illinois,S Illinois
Penn St,Penn St
Ohio,Ohio
Weber St,Weber St
Montana,Montana
Colorado St,Colorado St
North Dakota St,N Dakota St
Wright St,Wright St
Marshall,Marshall
Nebraska Omaha,NE Omaha
High Point,High Point
Eastern Michigan,E Michigan
Vermont,Vermont
Towson,Towson
East Tennessee St,ETSU
Louisiana Tech,Louisiana Tech
Ball St,Ball St
Duquesne,Duquesne
Winthrop,Winthrop
Central Michigan,C Michigan
Elon,Elon
Missouri,Missouri
Fordham,Fordham
Murray St,Murray St
Florida Gulf Coast,FL Gulf Coast
Tennessee St,Tennessee St
Northern Illinois,N Illinois
Wyoming,Wyoming
Massachusetts,Massachusetts
Indiana St,Indiana St
Texas A&M Corpus Chris,TAM C. Christi
Western Kentucky,WKU
Harvard,Harvard
Detroit,Detroit
Bucknell,Bucknell
Oral Roberts,Oral Roberts
Furman,Furman
Coastal Carolina,Coastal Car
Texas Southern,TX Southern
North Florida,North Florida
Kent St,Kent
Georgia St,Georgia St
Western Michigan,W Michigan
DePaul,DePaul
Mercer,Mercer
Loyola Chicago,Loyola-Chicago
UCF,UCF
Washington St,Washington St
Wofford,Wofford
Wagner,Wagner
Auburn,Auburn
Lehigh,Lehigh
East Carolina,East Carolina
Minnesota,Minnesota
Charlotte,Charlotte
Denver,Denver
Western Carolina,W Carolina
Tennessee Tech,Tennessee Tech
Eastern Washington,E Washington
North Dakota,North Dakota
George Mason,George Mason
Tulane,Tulane
Eastern Kentucky,E Kentucky
Cal Poly,Cal Poly SLO
NJIT,NJIT
Navy,Navy
San Francisco,San Francisco
Portland,Portland
IUPUI,IUPUI
Fairfield,Fairfield
Tennessee Martin,TN Martin
Georgia Southern,Ga Southern
St John's,St John's
Texas St,Texas St
Sam Houston St,Sam Houston St
Idaho,Idaho
UTEP,UTEP
South Dakota,South Dakota
Austin Peay,Austin Peay
Loyola Marymount,Loy Marymount
UNC Greensboro,UNC Greensboro
Saint Peter's,St Peter's
Samford,Samford
Radford,Radford
Rider,Rider
Missouri St,Missouri St
Saint Louis,St Louis
Boston College,Boston College
Pacific,Pacific
FIU,Florida Intl
Southern,Southern Univ
Bowling Green,Bowling Green
Boston University,Boston Univ
UC Riverside,UC Riverside
Western Illinois,W Illinois
Dartmouth,Dartmouth
New Hampshire,New Hampshire
Gardner Webb,Gardner Webb
Canisius,Canisius
South Florida,South Florida
Cal St Northridge,CS Northridge
Jackson St,Jackson St
UC Davis,UC Davis
Air Force,Air Force
Incarnate Word,Incarnate Word
Santa Clara,Santa Clara
Drexel,Drexel
Montana St,Montana St
Miami OH,Miami OH
Hampton,Hampton
San Jose St,San Jose St
UMKC,Missouri KC
Norfolk St,Norfolk St
Arkansas St,Arkansas St
Penn,Penn
Army,Army
Northern Kentucky,N Kentucky
Colgate,Colgate
Manhattan,Manhattan
Appalachian St,Appalachian St
South Alabama,South Alabama
Portland St,Portland St
Drake,Drake
Kennesaw St,Kennesaw
Mount St Mary's,Mt St Mary's
Cal St Fullerton,CS Fullerton
Brown,Brown
La Salle,La Salle
Eastern Illinois,E Illinois
South Carolina St,S Carolina St
San Diego,San Diego
Idaho St,Idaho St
Jacksonville,Jacksonville
Sacramento St,CS Sacramento
Rice,Rice
Lipscomb,Lipscomb
Delaware,Delaware
Cornell,Cornell
Houston Baptist,Houston Bap
Stetson,Stetson
Rutgers,Rutgers
Fairleigh Dickinson,F Dickinson
Youngstown St,Youngstown St
Troy,Troy
Utah Valley,Utah Valley
St Francis NY,St Francis NY
Holy Cross,Holy Cross
Alabama St,Alabama St
LIU Brooklyn,Long Island
Loyola MD,Loyola MD
Cleveland St,Cleveland St
North Texas,North Texas
Quinnipiac,Quinnipiac
Liberty,Liberty
Florida Atlantic,FL Atlantic
Seattle,Seattle
Longwood,Longwood
Jacksonville St,Jacksonville St
Campbell,Campbell
Charleston Southern,Charleston So
St Francis PA,St Francis PA
Sacred Heart,Sacred Heart
North Carolina Central,NC Central
Alabama A&M,Alabama A&M
Robert Morris,Robert Morris
Morgan St,Morgan St
Southern Miss,Southern Miss
Bethune Cookman,Bethune-Cookman
Marist,Marist
VMI,VMI
Niagara,Niagara
Southeastern Louisiana,SE Louisiana
The Citadel,Citadel
SIU Edwardsville,Edwardsville
Alcorn St,Alcorn St
Northern Colorado,N Colorado
New Orleans,New Orleans
UMass Lowell,MA Lowell
Abilene Christian,Abilene Chr
Maryland Eastern Shore,MD E Shore
American,American Univ
Lamar,Lamar
Central Arkansas,Cent Arkansas
Bradley,Bradley
Hartford,Hartford
USC Upstate,SC Upstate
Binghamton,Binghamton
McNeese St,McNeese St
Lafayette,Lafayette
Northwestern St,Northwestern LA
Presbyterian,Presbyterian
Howard,Howard
Nicholls St,Nicholls St
Savannah St,Savannah St
Coppin St,Coppin St
UMBC,UMBC
Illinois Chicago,IL Chicago
Maine,Maine
Prairie View A&M,Prairie View
UTSA,UT San Antonio
North Carolina A&T,NC A&T
Southeast Missouri St,SE Missouri St
Mississippi Valley St,MS Valley St
Southern Utah,Southern Utah
Northern Arizona,Northern Arizona
Arkansas Pine Bluff,Ark Pine Bluff
Grambling St,Grambling
Bryant,Bryant
Chicago St,Chicago St
UT Rio Grande Valley,UTRGV
Florida A&M,Florida A&M
Delaware St,Delaware St
Central Connecticut,Central Conn
